Part,Price,Link
Laser,$134.83,https://neje.shop/products/e40?variant=40316129378440
DLC32+Screen,$47.37,https://www.aliexpress.us/item/3256804976730248.html?spm=a2g0o.productlist.main.1.75315321CfbqnY&algo_pvid=ec4fec06-697c-4e06-8073-7c24d3228dda&algo_exp_id=ec4fec06-697c-4e06-8073-7c24d3228dda-0&pdp_ext_f=%7B%22order%22%3A%22132%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2129.40%2127.32%21%21%2129.40%2127.32%21%402103246617501783866458883ecaec%2112000031937384495%21sea%21US%210%21ABX&curPageLogUid=E9h8L9wHjsBa&utparam-url=scene%3Asearch%7Cquery_from%3A
3x Stepper,$25.99,https://www.amazon.com/STEPPERONLINE-Stepper-Bipolar-42x42x38mm-Connector/dp/B0B38GHRH8/
Endstop,$9.99,https://www.amazon.com/REIFENG-Mechanical-Endstop-Horizontal-Ramps1-4/dp/B07PCN6T6F/
4x 8mm Shaft,$16.99,https://www.amazon.com/inches-Vigorous-Linear-Hardened-Printer/dp/B0CXTX5FZ3/
Bed,$35.99,https://www.amazon.com/UniTak3D-Honeycomb-400x400mm-Dissipation-Protection/dp/B0DHH5XBNH/
LM8UU,$7.45,https://www.aliexpress.us/item/3256806883965670.html?spm=a2g0o.productlist.main.1.3817734fZO6lAc&algo_pvid=217e57ad-3db0-40d4-b152-b9a04e2629b6&algo_exp_id=217e57ad-3db0-40d4-b152-b9a04e2629b6-0&pdp_ext_f=%7B%22order%22%3A%22270%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.96%212.63%21%21%2121.15%2118.81%21%402103244417501781212178554e1f2e%2112000039307639549%21sea%21US%210%21ABX&curPageLogUid=qLR56UzeDClc&utparam-url=scene%3Asearch%7Cquery_from%3A
4x 2020 Extrusions + Gussets,$18.00,https://amazon.com/Aluminum-Extrusion-European-Standard-Anodized/dp/B0CLGYRKS8/
GT2 Pulley + Belt + Idlers,$15.00,https://www.amazon.com/KeeYees-Timing-Tensioner-Torsion-Printer/dp/B07JKT5BZQ/ref=sr_1_11?crid=3AMOKEUIBINQC&dib=eyJ2IjoiMSJ9.e7q-r3p7lN5s3TqDLvGKiqM6hjmphVZMdnUrSDhw-GpQ9i0xnTbhHurzOXvtJ-PaYDwzKsBwuTmsE3PounblLqYZhXNsCzwPQeV9XXIi6Bqslbu0jqAKIwhPEE8gz6D0k2aLjAUhUb8jJIWSlWPRaTC0LvEmRWmO9UBzc3bQBsfTLAZW96M9QOE7V_p4LGwS02AfFvaQHWCKEfNALnkLHNrF_18xvJNunNCezS5K_V8.X5GsZPumcO4yx2O3VQNEt8nKwm01gjQCNnPkEFO0S00&dib_tag=se&keywords=gt2+belt+set&qid=1750177912&sprefix=gt2+belt+set%2Caps%2C147&sr=8-11#averageCustomerReviewsAnchor
E-STOP,$2.00,https://www.aliexpress.us/item/2255800895415537.html?spm=a2g0o.productlist.main.2.60316cGU6cGUQN&algo_pvid=b8e074e4-4dee-4a5d-b783-97bfd9ee43b1&algo_exp_id=b8e074e4-4dee-4a5d-b783-97bfd9ee43b1-1&pdp_ext_f=%7B%22order%22%3A%222005%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.91%211.63%21%21%211.91%211.63%21%402101e9ec17501810841964855ecb8d%2110000014240381776%21sea%21US%210%21ABX&curPageLogUid=D1qUDNskHyXa&utparam-url=scene%3Asearch%7Cquery_from%3A
PSU,$35.99,https://www.amazon.com/ALITOVE-100-240V-Converter-Transformer-5-5x2-5mm/dp/B0B17Z1V6B/
TOTAL:,$349.60,
